Comment,Designator,Footprint,LCSC
16Mhz,Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,C122519
0.1uF,"C1,C11,C12,C2,C4,C5,C7,C8,C9",C_0805_2012Metric,C126469
3.9nH,L6,L_0402_1005Metric,C14033
10uF,"C10,C14,C15,C23,C26,C27,C28,C29,C3,C30,C31,C32,C33,C34,C35,C36,C37,C6",C_0805_2012Metric,C15850
0.01uF,"C13,C24",C_0805_2012Metric,C1710
33nF,C16,C_0805_2012Metric,C1739
100,"R12,R13,R2,R3,R7,R8",R_0805_2012Metric,C17408
10K,"R1,R10,R15,R16,R17,R20",R_0805_2012Metric,C17414
1M,R19,R_0805_2012Metric,C17514
22k,R18,R_0805_2012Metric,C17560
8.2K,"R11,R14,R4,R5,R6,R9",R_0805_2012Metric,C17828
1pF,C22,C_0805_2012Metric,C1786
1.5pF,C21,C_0805_2012Metric,C1788
22pF,"C17,C18",C_0805_2012Metric,C1804
LD1085V50,"CR1,CR2,CR3,CR4,CR5,CR6",TO-220_STM,C283283
STP85NF55,IC1,TO255P460X1020X2008-3P,C3290239
2.2uF,C19,C_0805_2012Metric,C377773
1nF,C25,C_0805_2012Metric,C46653
4.7pF,C20,C_0805_2012Metric,C519993
MAX31855KASA,U6,SOIC-8_3.9x4.9mm_P1.27mm,C52028
HX711,"U1,U2,U3",SOP-16_3.9x9.9mm_P1.27mm,C6705483
8.2nH,L5,L_0402_1005Metric,C76778
2.7nH,L4,L_0402_1005Metric,C77108
3.3uH,"L1,L2,L3",L_0402_1005Metric,C84474
MMBT4403-7-F,"Q1,Q2,Q3",SOT96P240X110-3N,C85183
NRF24L01,U7,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,C8791
LP2980IM5X-3.3/NOPB,"U5,U8",MF05A_TEX,C88715
1N4148,D1,D_DO-35_SOD27_P7.62mm_Horizontal,
SW_DIP_x01,SW1,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile,
Conn_Coaxial,J15,SMA_Molex_73251-1153_EdgeMount_Horizontal,
FerriteBead,FB2,L_0805_2012Metric,
1N4148,D2,D_DO-35_SOD27_P7.62mm_Horizontal,
FerriteBead,FB1,L_0805_2012Metric,
